Name,Address,Rating,Business Status,Place ID,Website,Type
Isla Vista,Isla Vista,,,ChIJM78eTnxA6YARSvMiQcHZwc4,N/A,"locality, political"
Coal Oil Point Reserve,"Slough Road, Isla Vista",4.7,OPERATIONAL,ChIJb_t3hU0_6YARD13H3O_GrtU,https://copr.nrs.ucsb.edu/,"tourist_attraction, park, point_of_interest, establishment"
Isla Vista Food Cooperative,"6575 Seville Road, Isla Vista",4.6,OPERATIONAL,ChIJf25rLmg_6YAR7hBeO1-Idv8,https://www.islavistafood.coop/,"grocery_or_supermarket, store, food, point_of_interest, establishment"
Gaffney Park,Isla Vista,4.0,OPERATIONAL,ChIJYTRW_UQ_6YARHaJPhePzztQ,http://ivparks.org/,"park, point_of_interest, establishment"
Sea Lookout Park,"6787 Del Playa Drive, Isla Vista",4.7,OPERATIONAL,ChIJNVZw-kQ_6YARaX0WRBVDYDw,http://ivparks.org/,"park, tourist_attraction, point_of_interest, establishment"
Rottapel Park,Isla Vista,4.0,OPERATIONAL,ChIJ7d-Lh0Q_6YAR7vUacnQaaMU,http://ivparks.org/,"park, point_of_interest, establishment"
Walter Capps Park,Isla Vista,4.0,OPERATIONAL,ChIJucvtg0M_6YAR5_bGhVlODC0,http://ivparks.org/,"park, point_of_interest, establishment"
Window to the Sea Park,"6693 Del Playa Drive, Goleta",4.7,OPERATIONAL,ChIJhYvbukM_6YARHY54ksT1Ihk,http://www.ivparks.org/parks/descriptions/#window_to_the_sea,"park, tourist_attraction, point_of_interest, establishment"
Sands Beach,Isla Vista,4.6,OPERATIONAL,ChIJ2ZLMvVI_6YAROH_4OJWvH4Y,N/A,"tourist_attraction, point_of_interest, establishment"
Silverglate Photo,"6793 Pasado Road, Goleta",,OPERATIONAL,ChIJQ8a2Mls_6YARmHDM0T6Q71Q,N/A,"point_of_interest, establishment"
"TM Events, Inc","971 West Campus Lane, Goleta",,OPERATIONAL,ChIJw_9_p1o_6YARG3Im19z8sgk,http://taramillerevents.com/,"point_of_interest, establishment"
DEL PLAYA APARTMENTS,"6508 Del Playa Drive, Isla Vista",5.0,OPERATIONAL,ChIJJ4x86Gs_6YARCs61PDoE5XQ,http://www.islavistaapartment.com/,"point_of_interest, establishment"
