Name,Address,Rating,Business Status,Place ID,Website,Type
Los Alamos,Los Alamos,,,ChIJT1tnOEgE7IARTjol2pFIL4M,N/A,"locality, political"
Los Alamos,Los Alamos,,,ChIJT1tnOEgE7IARTjol2pFIL4M,N/A,"locality, political"
greg's painting inc,"1441 Lincoln Avenue, San Rafael",5.0,OPERATIONAL,ChIJsynTOO6ZhYAR3RiksQw03pc,N/A,"painter, point_of_interest, establishment"
Los Alamos,Los Alamos,,,ChIJT1tnOEgE7IARTjol2pFIL4M,N/A,"locality, political"
Los Alamos Cemetery,"4777 Drum Canyon Road, Los Alamos",,OPERATIONAL,ChIJkXkg4mkE7IARYuo1UApmGcA,N/A,"cemetery, point_of_interest, establishment"
Los Alamos,Los Alamos,,,ChIJT1tnOEgE7IARTjol2pFIL4M,N/A,"locality, political"
Los Alamos State Preschool,"480 Centennial Street, Los Alamos",5.0,OPERATIONAL,ChIJD3Vct0YE7IARSPKPL92SWwc,N/A,"school, point_of_interest, establishment"
Los Alamos Branch Library,"405 Helena Street, Los Alamos",5.0,OPERATIONAL,ChIJESR7jEYE7IARUGQRPg2lNQM,http://www.cityofsantamaria.org/library,"library, point_of_interest, establishment"
Olga Reed Elementary School,"480 Centennial Street, Los Alamos",5.0,OPERATIONAL,ChIJD3Vct0YE7IARl80G7ZT3JrU,http://olgareed.orcuttschools.net/,"primary_school, school, point_of_interest, establishment"
Los Alamos Presbyterian Church,"490 Main Street, Los Alamos",4.5,OPERATIONAL,ChIJVVj0OUYE7IAR1egBIsgY7Kg,N/A,"church, place_of_worship, point_of_interest, establishment"
Los Alamos Cemetery,"4777 Drum Canyon Road, Los Alamos",,OPERATIONAL,ChIJkXkg4mkE7IARYuo1UApmGcA,N/A,"cemetery, point_of_interest, establishment"
Los Alamos County Park,"500 Drum Canyon Road, Los Alamos",4.6,OPERATIONAL,ChIJkRzzb0EE7IARsU975MfFjJ0,https://www.countyofsb.org/853/Los-Alamos-Park,"park, tourist_attraction, point_of_interest, establishment"
Keely Carey,"640 Foxen Lane, Los Alamos",,OPERATIONAL,ChIJCfictdkF7IARYDf2A8pqb3o,N/A,"health, point_of_interest, establishment"
ArticlesTalks - Head Office,Los Alamos,,OPERATIONAL,ChIJ_2vt1poF7IARe4d4kYXom4M,https://articlestalks.com/,"point_of_interest, establishment"
Solis Landscape Designs,"876 Vintage Way, Los Alamos",,CLOSED_TEMPORARILY,ChIJq6oa7D4E7IARNhrmiz5w4RA,N/A,"general_contractor, point_of_interest, establishment"
"Dr. Andrew M. Dustin, DDS","750 Main Street #100, Los Alamos",,OPERATIONAL,ChIJ8esS12IF7IAR0a2tvrECXIE,N/A,"doctor, health, point_of_interest, establishment"
Town and Ranch Properties,"370 Saint Joseph Street, Los Alamos",,OPERATIONAL,ChIJAQAU7EUE7IARNpF3mQCQdak,https://centralcoastcarealestate.com/contact-us/,"real_estate_agency, point_of_interest, establishment"
Start | mysite,"365 Saint Joseph Street, Los Alamos",,OPERATIONAL,ChIJq6oWkkUE7IAR2fPDpHrESFw,https://www.spookystatespictures.com/contact,"point_of_interest, establishment"
Los Alamos,Los Alamos,,,ChIJT1tnOEgE7IARTjol2pFIL4M,N/A,"locality, political"
Chisan Orchids Nursery Inc,"9676 Harvest Road, Los Alamos",4.0,OPERATIONAL,ChIJUaiSuaxH2YARWOeq3Hy9WQs,N/A,"point_of_interest, establishment"
Keely Carey,"640 Foxen Lane, Los Alamos",,OPERATIONAL,ChIJCfictdkF7IARYDf2A8pqb3o,N/A,"point_of_interest, health, establishment"
Solis Landscape Designs,"876 Vintage Way, Los Alamos",,CLOSED_TEMPORARILY,ChIJq6oa7D4E7IARNhrmiz5w4RA,N/A,"general_contractor, point_of_interest, establishment"
Los Alamos,Los Alamos,,,ChIJT1tnOEgE7IARTjol2pFIL4M,N/A,"locality, political"
Alisos Canyon Equine Center,"10225 Alisos Canyon Road, Los Alamos",,OPERATIONAL,ChIJw_wsFLsG7IAR_Xhlz2aV3mI,http://alisosequine.com/,"school, point_of_interest, establishment"
Los Alamos,Los Alamos,,,ChIJT1tnOEgE7IARTjol2pFIL4M,N/A,"locality, political"
Victorian Mansion Bed & Breakfast,"326 Bell Street, Los Alamos",4.9,OPERATIONAL,ChIJ02OESE8E7IARng2GfQ2jRGw,http://www.thevick.com/,"lodging, point_of_interest, establishment"
Alamo Motel,"425 Bell Street, Los Alamos",4.3,OPERATIONAL,ChIJLy6ZwEgE7IARxyN3OuD9xL0,http://www.rememberthealamomotel.com/,"lodging, point_of_interest, establishment"
Los Alamos Community Services District,"82 Saint Joseph Street, Los Alamos",5.0,OPERATIONAL,ChIJofJp0U4E7IARwQDQjCdtsc4,http://www.losalamoscsd.com/,"point_of_interest, establishment"
Wendelighting,"363 Bell Street suite a, Los Alamos",,OPERATIONAL,ChIJrb87M08E7IAReYFy1yMd7mw,http://www.wendelighting.com/,"home_goods_store, store, point_of_interest, establishment"
Sister's Gift and Home,"349 Bell Street #243, Los Alamos",4.6,OPERATIONAL,ChIJpZt-MU8E7IARGYMi5PyJJCA,https://www.facebook.com/pg/SISTERSHOME,"park, clothing_store, store, point_of_interest, establishment"
Custom Wood-N-Cabinets,"360 Bell Street, Los Alamos",,OPERATIONAL,ChIJrb87M08E7IARKBoVkXdW1vw,http://www.customwoodncabinets.com/,"point_of_interest, establishment"
Babi's Beer Emporium,"380 Bell Street, Los Alamos",4.7,OPERATIONAL,ChIJ71SxokgE7IARjo-JrDpymYk,http://www.babisbeeremporium.com/,"liquor_store, store, point_of_interest, establishment"
Los Alamos Market,"405 Bell Street, Los Alamos",4.4,OPERATIONAL,ChIJldevx0gE7IARuHmYTAfHWJc,N/A,"grocery_or_supermarket, store, food, point_of_interest, establishment"
cevd {custom invitation studio},"448 Bell Street, Los Alamos",,OPERATIONAL,ChIJ2XwumEgE7IARkB3jen0kOOw,http://www.cevd.com/,"point_of_interest, establishment"
Nuclear Wine Co.,"458 Bell Street, Los Alamos",5.0,OPERATIONAL,ChIJt4CymUgE7IAR17gik8DwOZM,N/A,"food, point_of_interest, establishment"
Lumen Wines,"458 Bell Street, Los Alamos",5.0,OPERATIONAL,ChIJt4CymUgE7IARTq2ADZjA8Q0,http://lumenwines.com/,"food, point_of_interest, establishment"
Terramonary Porcelain Dinnerware,"466 Bell Street, Los Alamos",5.0,OPERATIONAL,ChIJGVXP5XwU7IARBHdTqdMpUaY,N/A,"home_goods_store, store, point_of_interest, establishment"
Los Alamos Presbyterian Church,"490 Main Street, Los Alamos",4.5,OPERATIONAL,ChIJVVj0OUYE7IAR1egBIsgY7Kg,N/A,"church, place_of_worship, point_of_interest, establishment"
Los Alamos State Preschool,"480 Centennial Street, Los Alamos",5.0,OPERATIONAL,ChIJD3Vct0YE7IARSPKPL92SWwc,N/A,"school, point_of_interest, establishment"
Mariah Marketing,"497 Bell Street #939, Los Alamos",,CLOSED_TEMPORARILY,ChIJe_6-k0gE7IARNfjVmM4netM,http://www.mariahmarketing.com/,"point_of_interest, establishment"
Los Alamos Branch Library,"405 Helena Street, Los Alamos",5.0,OPERATIONAL,ChIJESR7jEYE7IARUGQRPg2lNQM,http://www.cityofsantamaria.org/library,"library, point_of_interest, establishment"
Plenty on Bell,"508 Bell Street, Los Alamos",4.7,OPERATIONAL,ChIJGePig0gE7IAR1eKZv6X4N2U,https://www.plentyonbell.com/,"restaurant, food, point_of_interest, establishment"
1880 Union Hotel,"362 Bell Street, Los Alamos",4.7,OPERATIONAL,ChIJkRyUTE8E7IARrqO-qN3ar2Q,http://1880union.com/,"point_of_interest, establishment"
Bob's Well Bread Bakery,"550 Bell Street, Los Alamos",4.6,OPERATIONAL,ChIJFbxTf0gE7IAR34xbrCBa9r4,http://www.bobswellbread.com/,"bakery, store, restaurant, food, point_of_interest, establishment"
Olga Reed Elementary School,"480 Centennial Street, Los Alamos",5.0,OPERATIONAL,ChIJD3Vct0YE7IARl80G7ZT3JrU,http://olgareed.orcuttschools.net/,"primary_school, school, point_of_interest, establishment"
St. Anthony Church,"270 Helena Street, Los Alamos",4.6,OPERATIONAL,ChIJI_0RMkYE7IARSWFig5eo2tQ,http://www.sldm.org/st-anthonys/,"church, place_of_worship, point_of_interest, establishment"
Charlie’s Restaurant,"185 Bell Street, Los Alamos",4.6,OPERATIONAL,ChIJv2irV04E7IAReBho8uUnwyQ,http://charliesfood.com/,"restaurant, food, point_of_interest, establishment"
Rancho Alamo,"4300 California 135, Los Alamos",,OPERATIONAL,ChIJy2lh2I4F7IAROWYuOBjfGQ0,N/A,"point_of_interest, establishment"
