Name,Address,Rating,Business Status,Place ID,Website
Santa Maria,Santa Maria,,,ChIJCcZUDKoP7IARjjRaimVS_Qs,http://www.ci.santa-maria.ca.us/
Martinez & Associates,"2624 Airpark Drive, Santa Maria",5.0,OPERATIONAL,ChIJ21nkqElr7IAR3fSpnE9a114,N/A
Remedial Transportation Services RTS,"2250 Mahoney Road, Santa Maria",,OPERATIONAL,ChIJw5A8_yFr7IAR8I3TmKLaV2s,http://www.rtstrucking.com/
Trojan Petroleum Inc,"1665 Betteravia Road, Santa Maria",5.0,OPERATIONAL,ChIJb9MVzxdr7IARZ6z2OSWKcM0,https://trojanpetroleum.com/
Cal-State Auto Parts Inc,"1459 Fairway Drive, Santa Maria",3.9,OPERATIONAL,ChIJnwBv6Dlr7IARE1LRQZXNxwM,http://calstateautoparts.com/
Matti's Parts Imports Inc,"2410 A Street, Santa Maria",5.0,OPERATIONAL,ChIJFQD2XTlr7IARpUAJIKII1pc,N/A
Beck's Machine & Tool,"2240 Rayville Lane, Santa Maria",1.0,OPERATIONAL,ChIJtdZbphhr7IARGprUxYlZQW0,http://www.inliners.org/becks/
Kaman Industrial Technologies,"1450 West McCoy Lane c, Santa Maria",5.0,OPERATIONAL,ChIJbwKXoTlr7IARM1DRYJDjsTA,https://ec.kamandirect.com/
Fastenal Fulfillment Center - Appointment Only,"2220 A Street #102, Santa Maria",3.3,OPERATIONAL,ChIJuztxiT5r7IAR66lzpq_3iNo,https://www.fastenal.com/
Bragg companies,"1555 Betteravia Road, Santa Maria",4.0,OPERATIONAL,ChIJ694enThr7IAR23Brr-ERmU8,http://www.braggcrane.com/index.php/branch/santa_maria
Surface Pumps Inc,"2270 Mahoney Road, Santa Maria",,OPERATIONAL,ChIJ90bQxd5q7IARQBCwSvIqon4,http://www.surfacepumps.com/
Gavial Engineering & Manufacturing Inc,"1435 West McCoy Lane, Santa Maria",5.0,OPERATIONAL,ChIJISVmDzlr7IARM86VrO19_QI,https://www.gavial.com/
Integrated Industrial Supply,"2255 A Street, Santa Maria",5.0,OPERATIONAL,ChIJK5UzPERr7IAR8qGUxeD3h6U,https://www.iisupplyinc.com/
Santa Maria Seeds Inc,"2390 A Street, Santa Maria",4.3,OPERATIONAL,ChIJW3i4ZTlr7IARy46GavGwk5I,https://santamariaseeds.com/
Western Union,"230 Betteravia Road, Santa Maria",1.0,OPERATIONAL,ChIJ57XwZahs7IARbNeAvD3ni38,https://www.westernunion.com/?utm_source=googlemaps&utm_medium=pml-yext
"Taylor Drilling & Pump, Inc.","2801 Mahoney Road, Santa Maria",4.0,OPERATIONAL,ChIJsXAFi9tq7IARmEb59cWcUkU,N/A
Myogenix,"2309 A Street, Santa Maria",,OPERATIONAL,ChIJZ6svJDxr7IAR53-GxPFUi0s,http://myogenix.com/
Gas Technology Services,"2357 A Street, Santa Maria",,OPERATIONAL,ChIJncsjqj5r7IARvbhM90WArXY,N/A
truck yard,"1664 Betteravia Road, Santa Maria",5.0,OPERATIONAL,ChIJNetAUD1r7IAR4bpUeJAe8hU,N/A
